rep,party,district,score_2016,score_lifetime
"Foxx, Virginia",R,NC-05,0%,4%
"Walker, Bradley Mark",R,NC-06,0%,0%
"Rouzer, David",R,NC-07,0%,0%
"Hudson, Richard",R,NC-08,0%,1%
"Pittenger, Robert",R,NC-09,0%,1%
"McHenry, Patrick T.",R,NC-10,3%,3%
"Meadows, Mark",R,NC-11,0%,2%
"Adams, Alma",D,NC-12,100%,99%
"Holding, George",R,NC-13,0%,1%
"Cramer, Kevin",R,ND-AL,3%,1%
"Chabot, Steve",R,OH-01,0%,13%
"Wenstrup, Brad R.",R,OH-02,0%,2%
"Beatty, Joyce",D,OH-03,100%,97%
"Jordan, Jim",R,OH-04,0%,4%
"Latta, Bob",R,OH-05,0%,3%
"Johnson, Bill",R,OH-06,0%,4%
"Gibbs, Bob",R,OH-07,0%,3%
"Davidson, Warren",R,OH-08,0%,0%
"Kaptur, Marcy",D,OH-09,100%,81%
"Turner, Michael R.",R,OH-10,11%,9%
"Fudge, Marcia L.",D,OH-11,100%,93%
"Tiberi, Pat",R,OH-12,0%,9%
"Ryan, Tim",D,OH-13,100%,91%
"Joyce, David P.",R,OH-14,5%,6%
"Stivers, Steve",R,OH-15,3%,6%
"Renacci, Jim",R,OH-16,0%,3%
"Bridenstine, Jim",R,OK-01,0%,3%
"Mullin, Markwayne",R,OK-02,0%,1%
"Lucas, Frank D.",R,OK-03,0%,4%
"Cole, Tom",R,OK-04,5%,6%
"Russell, Steve",R,OK-05,0%,3%
"Bonamici, Suzanne",D,OR-01,100%,98%
"Walden, Greg P.",R,OR-02,5%,9%
"Blumenauer, Earl",D,OR-03,97%,95%
"DeFazio, Peter A.",D,OR-04,95%,91%
"Schrader, Kurt",D,OR-05,76%,71%
"Brady, Robert A.",D,PA-01,97%,86%
"Evans, Dwight",D,PA-02,100%,100%
"Kelly, Mike",R,PA-03,0%,4%
"Perry, Scott",R,PA-04,0%,3%
"Thompson, Glenn W.",R,PA-05,3%,5%
"Costello, Ryan",R,PA-06,39%,27%
"Meehan, Patrick",R,PA-07,29%,14%
"Fitzpatrick, Michael",R,PA-08,47%,41%
"Shuster, Bill",R,PA-09,3%,6%
"Marino, Tom",R,PA-10,5%,6%
"Barletta, Lou",R,PA-11,3%,5%
"Rothfus, Keith J.",R,PA-12,0%,3%
"Boyle, Brendan",D,PA-13,100%,100%
"Doyle, Mike",D,PA-14,100%,76%
"Dent, Charlie",R,PA-15,18%,18%
"Pitts, Joe",R,PA-16,0%,6%
"Cartwright, Matt A.",D,PA-17,100%,97%
"Murphy, Tim",R,PA-18,3%,9%
"Cicilline, David",D,RI-01,100%,97%
"Langevin, Jim",D,RI-02,100%,96%
"Sanford, Mark",R,SC-01,21%,25%
"Wilson, Joe",R,SC-02,0%,3%
"Duncan, Jeff",R,SC-03,0%,4%
"Gowdy, Trey",R,SC-04,0%,3%
"Mulvaney, Mick",R,SC-05,0%,6%
"Clyburn, James E.",D,SC-06,92%,84%
"Rice, Tom",R,SC-07,0%,1%
"Noem, Kristi",R,SD-AL,0%,5%
"Roe, Phil",R,TN-01,0%,2%
"Duncan, Jr., John J.",R,TN-02,0%,10%
"Fleischmann, Chuck",R,TN-03,3%,4%
"DesJarlais, Scott",R,TN-04,0%,2%
"Cooper, Jim",D,TN-05,82%,80%
"Black, Diane",R,TN-06,0%,3%
"Blackburn, Marsha",R,TN-07,0%,2%
"Fincher, Stephen",R,TN-08,0%,3%
